GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,org.uteq.backend.deportivo.asistencia.service,QrAsistenciaService,3,58,0,6,2,14,0,6,0,3
backend,org.uteq.backend.deportivo.asistencia.service,QrAsistenciaService.TokenQr,0,9,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.asistencia.service,AsistenciaService,32,649,4,50,1,132,8,38,4,15
backend,org.uteq.backend.deportivo.lesion.entity,Lesion,0,7,0,2,0,1,0,2,0,1
backend,org.uteq.backend.deportivo.horario.controller,HorarioController,9,30,0,0,1,5,1,4,1,4
backend,org.uteq.backend.seguridad.person.dto,PersonResponse,0,33,0,0,0,1,0,1,0,1
backend,org.uteq.backend.seguridad.person.dto,PersonRequest,0,24,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.especialidad.dto,EspecialidadRequest,0,6,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.especialidad.dto,EspecialidadResponse,0,15,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.sesion.controller,SesionEntrenamientoController,6,70,0,4,1,12,1,7,1,5
backend,org.uteq.backend.academico.alert.dto,AlertDtos.StudentAtRiskResponse,0,27,0,0,0,1,0,1,0,1
backend,org.uteq.backend.academico.alert.dto,AlertDtos.AlertsPanelResponse,0,30,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.partido.dto,ConvocatoriaDtos,3,0,0,0,1,0,1,0,1,0
backend,org.uteq.backend.deportivo.partido.dto,ConvocatoriaDtos.NoConvocable,0,12,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.partido.dto,PartidoDtos.PartidoPageResponse,0,18,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.partido.dto,PartidoDtos.PartidoResponse,0,42,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.partido.dto,ConvocatoriaDtos.VentanaRendimiento,0,15,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.partido.dto,ConvocatoriaDtos.JugadorConvocado,0,27,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.partido.dto,ConvocatoriaDtos.AlineacionResponse,0,45,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.partido.dto,ConvocatoriaDtos.FeedbackAlineacionResponse,0,12,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.partido.dto,PartidoDtos.ResultadoRequest,0,12,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.partido.dto,PartidoDtos,3,0,0,0,1,0,1,0,1,0
backend,org.uteq.backend.deportivo.partido.dto,AlineacionDtos.JugadorEnCancha,0,12,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.partido.dto,PartidoDtos.CrearPartidoRequest,0,15,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.partido.dto,AlineacionDtos.GuardarAlineacionRequest,0,12,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.partido.dto,AlineacionDtos,3,0,0,0,1,0,1,0,1,0
backend,org.uteq.backend.inventario.item.dto,ItemDtos.ItemRequest,0,21,0,0,0,1,0,1,0,1
backend,org.uteq.backend.inventario.item.dto,ItemDtos.ItemResponse,0,33,0,0,0,1,0,1,0,1
backend,org.uteq.backend.inventario.item.dto,ItemDtos.LowStockResponse,0,9,0,0,0,1,0,1,0,1
